,PLAYER_ID,full_name,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1628396,Tony Bradley,2017-18,00,1610612762,UTA,20.0,9,0,29.0,3,11,0.273,0,1,0.0,2,2,1.0,4,7,11,1,0,0,0,1,8
1,1628396,Tony Bradley,2018-19,00,1610612762,UTA,21.0,3,0,36.0,8,16,0.5,0,0,0.0,1,2,0.5,9,6,15,1,2,2,3,6,17
2,1628396,Tony Bradley,2019-20,00,1610612762,UTA,22.0,58,3,663.0,126,189,0.667,3,3,1.0,30,46,0.652,111,156,267,23,14,33,30,115,285
3,1628396,Tony Bradley,2020-21,00,1610612755,PHI,23.0,20,8,287.0,51,75,0.68,0,1,0.0,7,11,0.636,39,65,104,17,6,13,6,28,109
4,1628396,Tony Bradley,2020-21,00,1610612760,OKC,23.0,22,0,397.0,80,122,0.656,0,2,0.0,31,44,0.705,46,89,135,20,9,17,27,33,191
5,1628396,Tony Bradley,2020-21,00,0,TOT,23.0,42,8,684.0,131,197,0.665,0,3,0.0,38,55,0.691,85,154,239,37,15,30,33,61,300
6,1628396,Tony Bradley,2021-22,00,1610612741,CHI,24.0,55,7,549.0,72,123,0.585,0,0,0.0,19,29,0.655,67,119,186,27,10,33,34,62,163
7,1628396,Tony Bradley,2022-23,00,1610612741,CHI,24.0,9,0,25.0,4,7,0.571,2,4,0.5,2,2,1.0,1,9,10,1,1,0,1,1,12
0,1631103,Malaki Branham,2022-23,00,1610612759,SAS,19.0,15,4,255.0,29,83,0.349,13,48,0.271,9,11,0.818,3,19,22,23,4,2,11,16,80
0,1631128,Christian Braun,2022-23,00,1610612743,DEN,21.0,27,0,382.0,34,79,0.43,8,27,0.296,10,18,0.556,17,41,58,15,8,4,9,29,86
0,1628969,Mikal Bridges,2018-19,00,1610612756,PHX,22.0,82,56,2417.0,242,563,0.43,105,313,0.335,95,118,0.805,56,208,264,173,129,38,70,201,684
1,1628969,Mikal Bridges,2019-20,00,1610612756,PHX,23.0,73,32,2042.0,247,484,0.51,70,194,0.361,103,122,0.844,66,226,292,129,102,46,73,163,667
2,1628969,Mikal Bridges,2020-21,00,1610612756,PHX,24.0,72,72,2348.0,363,669,0.543,134,315,0.425,110,131,0.84,76,233,309,152,76,63,57,116,970
3,1628969,Mikal Bridges,2021-22,00,1610612756,PHX,25.0,82,82,2854.0,458,858,0.534,115,312,0.369,131,157,0.834,74,273,347,185,96,36,68,150,1162
4,1628969,Mikal Bridges,2022-23,00,1610612756,PHX,26.0,30,30,1098.0,183,387,0.473,57,141,0.404,63,70,0.9,35,115,150,91,37,25,32,64,486
0,1629052,Oshae Brissett,2019-20,00,1610612761,TOR,22.0,19,0,135.0,13,36,0.361,3,15,0.2,8,10,0.8,9,17,26,7,4,1,7,18,37
1,1629052,Oshae Brissett,2020-21,00,1610612754,IND,23.0,21,16,519.0,73,151,0.483,33,78,0.423,50,65,0.769,29,86,115,18,19,20,10,32,229
2,1629052,Oshae Brissett,2021-22,00,1610612754,IND,24.0,67,25,1564.0,208,506,0.411,83,237,0.35,114,164,0.695,108,250,358,72,44,29,54,116,613
3,1629052,Oshae Brissett,2022-23,00,1610612754,IND,24.0,26,0,406.0,45,107,0.421,24,65,0.369,40,55,0.727,18,58,76,11,18,5,13,35,154
0,1627763,Malcolm Brogdon,2016-17,00,1610612749,MIL,24.0,75,28,1982.0,290,635,0.457,78,193,0.404,109,126,0.865,47,166,213,317,84,12,113,140,767
1,1627763,Malcolm Brogdon,2017-18,00,1610612749,MIL,25.0,48,20,1436.0,244,503,0.485,62,161,0.385,75,85,0.882,23,133,156,152,41,13,66,128,625
2,1627763,Malcolm Brogdon,2018-19,00,1610612749,MIL,26.0,64,64,1832.0,378,748,0.505,104,244,0.426,141,152,0.928,65,223,288,205,46,13,91,102,1001
3,1627763,Malcolm Brogdon,2019-20,00,1610612754,IND,27.0,54,54,1666.0,326,744,0.438,75,230,0.326,166,186,0.892,46,216,262,381,35,10,131,98,893
4,1627763,Malcolm Brogdon,2020-21,00,1610612754,IND,28.0,56,56,1930.0,444,980,0.453,145,374,0.388,153,177,0.864,58,236,294,329,49,15,115,110,1186
5,1627763,Malcolm Brogdon,2021-22,00,1610612754,IND,29.0,36,36,1206.0,243,543,0.448,58,186,0.312,143,167,0.856,33,152,185,212,30,14,77,71,687
6,1627763,Malcolm Brogdon,2022-23,00,1610612738,BOS,30.0,26,0,620.0,126,259,0.486,49,106,0.462,59,68,0.868,21,85,106,96,14,8,48,41,360
0,1628415,Dillon Brooks,2017-18,00,1610612763,MEM,22.0,82,74,2350.0,340,772,0.44,94,264,0.356,124,166,0.747,49,208,257,135,73,17,124,233,898
1,1628415,Dillon Brooks,2018-19,00,1610612763,MEM,23.0,18,0,330.0,49,122,0.402,15,40,0.375,22,30,0.733,9,22,31,16,10,4,19,50,135
2,1628415,Dillon Brooks,2019-20,00,1610612763,MEM,24.0,73,73,2112.0,435,1068,0.407,147,411,0.358,164,203,0.808,68,175,243,150,63,27,124,278,1181
3,1628415,Dillon Brooks,2020-21,00,1610612763,MEM,25.0,67,67,1997.0,432,1031,0.419,128,372,0.344,159,195,0.815,53,143,196,157,78,26,119,237,1151
4,1628415,Dillon Brooks,2021-22,00,1610612763,MEM,26.0,32,31,885.0,227,526,0.432,46,149,0.309,90,106,0.849,29,73,102,88,36,8,50,105,590
5,1628415,Dillon Brooks,2022-23,00,1610612763,MEM,26.0,26,26,807.0,176,432,0.407,64,181,0.354,59,76,0.776,21,75,96,76,21,4,46,82,475
0,1628971,Bruce Brown,2018-19,00,1610612765,DET,22.0,74,56,1449.0,125,314,0.398,24,93,0.258,45,60,0.75,48,137,185,91,40,36,46,178,319
