,PLAYER_ID,full_name,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,77543,Stan McKenzie,1967-68,00,1610612764,BLT,23.0,50,,653.0,73,182,0.401,,,,58,88,0.659,,,121,24,,,,98,204
1,77543,Stan McKenzie,1968-69,00,1610612756,PHX,24.0,80,,1569.0,264,618,0.427,,,,219,287,0.763,,,251,123,,,,191,747
2,77543,Stan McKenzie,1969-70,00,1610612756,PHX,25.0,58,,525.0,81,206,0.393,,,,58,73,0.795,,,93,52,,,,67,220
3,77543,Stan McKenzie,1970-71,00,1610612757,POR,26.0,82,,2290.0,398,902,0.441,,,,331,396,0.836,,,309,235,,,,238,1127
4,77543,Stan McKenzie,1971-72,00,1610612757,POR,27.0,82,,2036.0,410,834,0.492,,,,315,379,0.831,,,272,148,,,,240,1135
5,77543,Stan McKenzie,1972-73,00,1610612757,POR,28.0,7,,107.0,13,36,0.361,,,,14,16,0.875,,,21,8,,,,15,40
6,77543,Stan McKenzie,1972-73,00,1610612745,HOU,28.0,26,,187.0,35,83,0.422,,,,16,21,0.762,,,34,15,,,,28,86
7,77543,Stan McKenzie,1972-73,00,0,TOT,28.0,33,,294.0,48,119,0.403,,,,30,37,0.811,,,55,23,,,,43,126
8,77543,Stan McKenzie,1973-74,00,1610612745,HOU,29.0,11,,112.0,7,24,0.292,,,,6,8,0.75,3.0,13.0,16,6,3.0,0.0,,17,20
0,365,Derrick McKey,1987-88,00,1610612760,SEA,21.0,82,4,1706.0,255,519,0.491,11,30,0.367,173,224,0.772,115.0,213.0,328,107,70.0,63.0,108,237,694
1,365,Derrick McKey,1988-89,00,1610612760,SEA,22.0,82,82,2804.0,487,970,0.502,30,89,0.337,301,375,0.803,167.0,297.0,464,219,105.0,70.0,188,264,1305
2,365,Derrick McKey,1989-90,00,1610612760,SEA,23.0,80,80,2748.0,468,949,0.493,3,23,0.13,315,403,0.782,170.0,319.0,489,187,87.0,81.0,192,247,1254
3,365,Derrick McKey,1990-91,00,1610612760,SEA,24.0,73,55,2503.0,438,847,0.517,4,19,0.211,235,278,0.845,172.0,251.0,423,169,91.0,56.0,158,220,1115
4,365,Derrick McKey,1991-92,00,1610612760,SEA,25.0,52,44,1757.0,285,604,0.472,19,50,0.38,188,222,0.847,95.0,173.0,268,120,61.0,47.0,114,142,777
5,365,Derrick McKey,1992-93,00,1610612760,SEA,26.0,77,68,2439.0,387,780,0.496,40,112,0.357,220,297,0.741,121.0,206.0,327,197,105.0,58.0,152,208,1034
6,365,Derrick McKey,1993-94,00,1610612754,IND,27.0,76,76,2613.0,355,710,0.5,9,31,0.29,192,254,0.756,129.0,273.0,402,327,111.0,49.0,228,248,911
7,365,Derrick McKey,1994-95,00,1610612754,IND,28.0,81,81,2805.0,411,833,0.493,32,89,0.36,221,297,0.744,125.0,269.0,394,276,125.0,49.0,168,260,1075
8,365,Derrick McKey,1995-96,00,1610612754,IND,29.0,75,75,2440.0,346,712,0.486,17,68,0.25,170,221,0.769,123.0,238.0,361,262,83.0,44.0,143,246,879
9,365,Derrick McKey,1996-97,00,1610612754,IND,30.0,50,49,1447.0,148,379,0.391,15,58,0.259,89,123,0.724,80.0,161.0,241,135,47.0,30.0,83,141,400
10,365,Derrick McKey,1997-98,00,1610612754,IND,31.0,57,4,1316.0,150,327,0.459,4,17,0.235,55,77,0.714,74.0,137.0,211,88,57.0,30.0,79,156,359
11,365,Derrick McKey,1998-99,00,1610612754,IND,32.0,13,0,244.0,23,52,0.442,0,1,0.0,14,17,0.824,18.0,23.0,41,13,12.0,4.0,12,24,60
12,365,Derrick McKey,1999-00,00,1610612754,IND,33.0,32,0,634.0,43,108,0.398,10,23,0.435,43,56,0.768,29.0,106.0,135,35,29.0,13.0,19,81,139
